datetime,machineID,component,parts_cost_Jt,labor_hours,labor_cost_Jt,total_repair_cost_Jt,downtime_hours,replacement_cost_Jt,is_replacement
2015-01-01 03:47:01,24,comp2,106.97,27.8,22.2,129.18,29.3,53.79,0
2015-01-01 10:43:43,59,comp4,44.88,14.7,11.8,56.67,17.6,93.86,0
2015-01-01 20:05:22,8,comp1,19.96,22.3,17.84,37.8,23.9,128.89,0
2015-01-01 23:54:35,61,comp4,46.61,12.4,9.91,56.52,13.0,165.87,0
2015-01-02 00:56:22,51,comp3,21.84,18.3,14.64,36.49,18.9,105.43,0
2015-01-02 02:25:45,86,comp2,86.28,17.5,13.99,100.27,20.9,141.38,0
2015-01-02 09:02:53,14,comp4,36.16,21.8,17.41,53.57,24.4,161.02,0
2015-01-03 03:40:53,26,comp4,22.49,17.1,13.69,36.18,20.0,178.21,0
2015-01-03 06:57:19,34,comp2,50.98,14.3,11.44,62.42,15.8,137.09,0
2015-01-03 08:54:36,97,comp1,14.29,15.6,12.5,26.8,19.3,39.43,0
2015-01-04 00:54:59,12,comp1,33.37,19.0,15.17,48.54,22.4,114.99,0
2015-01-04 03:28:42,73,comp4,37.57,19.5,15.63,53.2,22.4,74.07,0
2015-01-04 14:49:34,11,comp3,6.15,6.0,4.82,10.97,6.7,52.78,0
2015-01-04 15:35:25,70,comp1,18.08,4.2,3.39,21.48,6.2,108.07,0
2015-01-04 18:07:41,15,comp3,11.98,11.8,9.47,21.45,15.1,91.17,0
2015-01-04 22:36:54,44,comp3,8.73,6.9,5.55,14.28,10.0,109.31,0
2015-01-05 18:19:18,50,comp4,43.05,6.5,5.2,48.25,7.4,143.16,0
2015-01-05 21:55:35,40,comp4,27.8,23.6,18.9,46.69,25.8,98.9,0
2015-01-06 07:27:18,60,comp3,23.51,6.3,5.07,28.58,9.6,117.87,0
2015-01-06 09:43:52,77,comp1,17.6,27.3,21.82,39.43,29.5,68.18,0
2015-01-06 11:52:20,49,comp2,31.01,15.6,12.51,43.52,19.3,49.3,0
2015-01-06 17:33:11,5,comp1,32.2,5.8,4.63,36.82,6.5,126.0,0
2015-01-06 18:30:29,86,comp1,13.64,14.6,11.7,25.33,16.7,119.4,0
2015-01-06 23:02:59,65,comp2,62.3,11.3,9.01,71.31,13.7,81.13,0
2015-01-07 03:05:25,86,comp3,12.61,22.6,18.09,30.69,25.4,122.48,0
2015-01-07 16:43:07,45,comp4,33.71,15.0,12.03,45.73,16.4,113.61,0
2015-01-08 12:39:55,38,comp1,17.44,22.8,18.21,35.65,24.2,99.24,0
2015-01-08 14:03:03,34,comp1,22.46,5.2,4.17,26.64,7.8,105.83,0
2015-01-08 21:57:19,38,comp1,10.45,3.6,2.89,13.34,4.4,44.01,0
2015-01-09 01:21:41,57,comp4,56.82,10.9,8.68,65.51,11.8,69.29,0
2015-01-09 07:03:57,85,comp2,25.46,8.0,6.38,31.84,8.8,82.75,0
2015-01-09 12:29:30,72,comp2,89.8,8.8,7.0,96.8,11.6,66.39,0
2015-01-10 04:34:06,20,comp3,20.43,12.6,10.11,30.54,14.5,125.14,0
2015-01-10 11:39:40,25,comp4,44.36,28.1,22.52,66.88,30.5,64.41,0
2015-01-10 15:01:32,19,comp3,14.84,5.1,4.07,18.91,8.7,150.08,0
2015-01-10 17:14:47,78,comp4,13.75,14.9,11.94,25.69,18.1,63.59,0
2015-01-10 23:20:24,39,comp1,30.52,25.0,20.02,50.54,26.6,176.78,0
2015-01-11 00:17:18,86,comp1,22.59,23.9,19.11,41.71,27.0,78.81,0
2015-01-11 01:04:41,57,comp3,8.39,22.0,17.62,26.02,24.5,60.29,0
2015-01-11 04:42:12,96,comp4,33.22,27.4,21.95,55.17,30.9,133.69,0
2015-01-11 11:20:43,36,comp4,46.24,10.1,8.08,54.32,13.2,109.87,0
2015-01-11 12:36:33,36,comp3,14.76,21.0,16.78,31.54,22.6,119.73,0
2015-01-11 17:15:20,20,comp3,21.26,26.3,21.05,42.31,29.5,48.62,0
2015-01-12 05:04:57,60,comp2,104.63,26.3,21.07,125.71,27.3,100.26,0
2015-01-12 05:48:28,68,comp4,37.43,23.5,18.8,56.23,26.9,169.99,0
2015-01-12 05:51:47,97,comp1,23.76,18.8,15.02,38.79,21.3,106.18,0
2015-01-12 06:31:51,36,comp3,18.35,14.2,11.35,29.7,15.8,165.38,0
2015-01-12 21:44:41,98,comp4,19.9,17.8,14.24,34.14,20.3,90.01,0
2015-01-13 01:13:13,38,comp4,22.18,25.6,20.45,42.63,27.6,50.56,0
2015-01-13 02:20:42,89,comp1,13.03,13.7,10.98,24.01,17.2,73.29,0
2015-01-13 16:13:31,52,comp3,15.03,7.5,6.02,21.05,9.5,123.86,0
2015-01-13 16:56:16,83,comp2,53.41,6.5,5.24,58.64,8.6,130.53,0
2015-01-13 22:58:47,75,comp4,18.92,22.2,17.73,36.65,24.0,126.42,0
2015-01-14 22:36:13,67,comp3,12.13,7.6,6.05,18.18,11.3,151.7,0
2015-01-15 06:02:31,59,comp3,21.19,8.1,6.44,27.64,8.7,188.51,0
2015-01-15 09:02:52,64,comp4,34.05,9.9,7.9,41.95,10.7,48.31,0
2015-01-15 10:50:31,81,comp3,21.76,24.9,19.96,41.72,25.7,87.24,0
2015-01-15 20:34:58,20,comp1,24.79,20.7,16.6,41.39,22.3,134.93,0
2015-01-16 00:56:22,19,comp1,12.53,19.7,15.72,28.25,21.8,73.65,0
2015-01-16 07:26:42,75,comp3,16.78,23.6,18.88,35.66,25.2,125.87,0
2015-01-16 10:25:08,10,comp1,18.72,22.6,18.11,36.83,23.6,109.65,0
2015-01-16 11:31:45,57,comp2,115.26,27.1,21.72,136.98,27.9,144.88,0
2015-01-16 11:50:49,17,comp2,43.85,15.2,12.17,56.02,17.1,118.3,0
2015-01-16 14:59:10,58,comp2,64.26,4.1,3.24,67.5,6.1,123.29,0
2015-01-16 15:13:58,38,comp1,29.79,16.9,13.56,43.35,17.5,63.8,0
2015-01-16 22:47:31,40,comp3,6.98,8.7,6.93,13.92,11.9,63.15,0
2015-01-17 05:52:23,16,comp2,53.95,20.1,16.1,70.05,22.8,103.6,0
2015-01-17 20:11:29,88,comp4,17.75,13.6,10.86,28.61,16.1,89.51,0
2015-01-17 22:49:20,63,comp3,7.49,13.5,10.77,18.27,17.3,119.77,0
2015-01-18 02:55:06,14,comp2,87.48,8.2,6.56,94.04,9.5,65.49,0
2015-01-18 05:42:44,21,comp2,17.16,5.5,4.38,21.54,6.7,46.16,0
2015-01-18 14:39:46,81,comp3,24.34,21.5,17.2,41.54,24.7,147.06,0
2015-01-18 16:14:13,49,comp3,19.06,21.9,17.53,36.6,23.9,113.37,0
2015-01-18 20:40:00,68,comp1,26.91,26.2,20.96,47.87,29.6,51.77,0
2015-01-18 22:44:35,25,comp3,10.56,20.8,16.61,27.18,21.9,50.66,0
2015-01-20 01:07:31,73,comp1,33.19,8.1,6.48,39.68,11.3,165.15,0
2015-01-20 07:49:12,99,comp4,49.82,10.7,8.53,58.35,13.1,154.73,0
2015-01-20 11:21:37,9,comp1,14.92,9.3,7.42,22.35,12.8,64.18,0
2015-01-20 12:41:12,36,comp4,51.25,12.4,9.92,61.17,13.4,168.48,0
2015-01-20 15:25:33,85,comp4,41.16,23.0,18.4,59.56,24.2,140.04,0
2015-01-20 15:31:02,5,comp3,11.96,21.6,17.29,29.25,23.1,176.37,0
2015-01-20 17:28:48,14,comp1,31.19,12.7,10.13,41.31,15.8,149.04,0
2015-01-20 22:51:56,50,comp2,39.85,24.3,19.42,59.28,28.2,78.73,0
2015-01-20 23:30:43,95,comp4,33.31,19.4,15.54,48.85,22.0,56.07,0
2015-01-21 01:03:23,60,comp3,22.7,27.4,21.9,44.6,31.2,82.57,0
2015-01-21 05:28:22,38,comp1,29.71,21.9,17.5,47.22,24.4,46.79,0
2015-01-21 08:23:39,86,comp4,33.41,16.1,12.9,46.31,17.9,55.57,0
2015-01-21 10:20:59,99,comp1,15.95,14.7,11.79,27.74,16.1,63.31,0
2015-01-21 19:40:22,50,comp4,58.29,25.1,20.05,78.34,27.8,50.5,0
2015-01-22 00:54:43,2,comp2,67.8,4.1,3.29,71.1,8.0,52.14,0
2015-01-22 01:13:07,60,comp1,28.93,20.3,16.21,45.14,23.2,80.15,0
2015-01-22 04:13:09,49,comp1,28.33,3.8,3.05,31.38,7.5,95.37,0
2015-01-22 19:04:08,68,comp1,15.66,27.9,22.35,38.01,31.8,83.92,0
2015-01-23 02:09:21,10,comp3,18.89,15.8,12.67,31.55,16.4,166.35,0
2015-01-23 04:49:08,9,comp1,23.49,10.5,8.4,31.88,12.9,74.96,0
2015-01-23 17:06:13,9,comp3,24.03,18.3,14.67,38.7,19.8,174.72,0
