machineID,model,age
1,model1,4
2,model2,9
3,model2,8
4,model1,4
5,model4,19
6,model1,2
7,model2,3
8,model1,8
9,model2,18
10,model4,18
11,model4,8
12,model3,19
13,model2,1
14,model3,14
15,model2,9
16,model3,7
17,model1,4
18,model1,13
19,model3,12
20,model3,20
21,model4,2
22,model1,18
23,model1,13
24,model3,18
25,model3,20
26,model2,19
27,model1,3
28,model3,8
29,model2,3
30,model4,4
31,model4,9
32,model2,12
33,model3,12
34,model3,7
35,model2,3
36,model2,18
37,model4,6
38,model3,13
39,model2,18
40,model1,11
41,model1,8
42,model4,11
43,model1,9
44,model3,7
45,model4,7
46,model4,13
47,model3,5
48,model2,5
49,model3,18
50,model4,19
51,model4,19
52,model2,12
53,model4,5
54,model1,3
55,model2,4
56,model4,6
57,model1,20
58,model4,13
59,model4,20
60,model3,17
61,model1,18
62,model3,4
63,model1,11
64,model4,10
65,model4,6
66,model3,1
67,model2,17
68,model1,17
69,model2,10
70,model3,5
71,model1,6
72,model3,20
73,model1,16
74,model3,4
75,model2,10
76,model2,2
77,model1,19
78,model4,3
79,model2,3
80,model4,5
81,model2,18
82,model4,9
83,model2,7
84,model4,10
85,model4,12
86,model4,17
87,model2,4
88,model1,8
89,model1,11
90,model2,19
91,model2,19
92,model1,1
93,model2,2
94,model1,3
95,model1,11
96,model2,17
97,model4,9
98,model2,7
99,model4,19
100,model4,8
